sample_id,domain,location,location_key,county,sample_date,compliant,bucket,norms_violation,violated_params,unmeasured_norm_params,n_measured_norm_params
349521,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-04-22 00:00:00,1,hidden_pass,True,manganese|coliforms,nitrites|color,12
349520,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-04-15 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349519,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-04-08 00:00:00,1,hidden_pass,True,turbidity|coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349518,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-04-01 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349517,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-03-25 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349516,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-03-18 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349127,joogivesi,Mahla I prk — Mahla I proovivõtukraan,mahla i prk mahla i proovivõtukraan,,2024-03-12 00:00:00,1,hidden_pass,True,manganese|iron,color,13
349130,joogivesi,Kagu-Võidu I prk — Kagu-Võidu I prk proovivõtukraan,kagu võidu i prk kagu võidu i prk proovivõtukraan,,2024-03-12 00:00:00,1,hidden_pass,True,manganese|iron,color,13
349129,joogivesi,Mahla III prk — Mahla III prk proovivõtukraan,mahla iii prk mahla iii prk proovivõtukraan,,2024-03-12 00:00:00,1,hidden_pass,True,ammonium|manganese|iron,color,13
349515,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-03-11 00:00:00,1,hidden_pass,True,manganese|coliforms,nitrites|color,12
327749,joogivesi,Mustajõe veehaare — Narva veepuhastusjaama pinnaveesisend,mustajõe veehaare narva veepuhastusjaama pinnaveesisend,,2024-03-05 00:00:00,1,hidden_pass,True,iron|color,e_coli|enterococci|nitrites|fluoride|manganese|chlorides|sulfates|coliforms,6
349514,joogivesi,"Ülemiste järv — Ülemiste järv, VPJ sissevool",ülemiste järv ülemiste järv vpj sissevool,,2024-03-04 00:00:00,1,hidden_pass,True,coliforms,enterococci|nitrites|fluoride|manganese|iron|color|chlorides|sulfates,6
349124,joogivesi,Sae prk — Sae prk proovivõtukraan,sae prk sae prk proovivõtukraan,,2024-02-27 00:00:00,1,hidden_pass,True,manganese,color,13
349125,joogivesi,Laagri prk — Laagri prk proovivõtukraan,laagri prk laagri prk proovivõtukraan,,2024-02-27 00:00:00,1,hidden_pass,True,manganese,color,13
